S/N,Institution,Inst. Code,Region,District,Location,Gender,No. of Programs,Programs (Code - Name),Status
77,Mankessim Technical Institute,9030300,Central,Mfantsiman,Mankessim,Mixed,7,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day
78,New Ebu Technical Institute,9030414,Central,Abura Asebu Kwamankese,New Ebu,Mixed,5,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL",Day/Boarding
79,Biriwa Technical Institute,9030301,Central,Mfantsiman Mun,Biriwa,Mixed,10,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
614 - COMPUTER HARDWARE & SOFTWARE
621 - LEATHER WORKS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
80,Asafora Technical Institute,9030321,Central,Mfantseman,Asafora,Mixed,6,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day
81,Assin Jakai Applied Technology Institute,9030707,Central,Assin Jakai,Assin South,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
82,J.G. Knol Technical Instititute,9021601,Eastern,Okere,Adukrom Akuapem,Mixed,5,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
83,Akrofufu Technical Institute,9022200,Eastern,Atiwa West,Akrofufu,Mixed,5,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/ Boarding
84,Anum Presbyterian Technical Institute,9020800,Eastern,Asuogyaman,Anum,Mixed,9,"608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
702 - PLUMBING & GAS TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY
901 - BUSINESS SECRETARIAL
903 - BUSINESS INFO. TECH.",Day/Boarding
85,Akwatia Tech. Inst.,9021101,Eastern,Denkyembour,Akwatia,Mixed,13,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
86,Kibi Technical Institute,9021302,Eastern,Eask Akim Mun.,Kibi,Mixed,8,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day/Boarding
87,St. Paul's Tech. Inst.,9021301,Eastern,East Akim,Kukurantumi,Mixed,10,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
626 - WATER TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP",Day/Boarding
88,Takrowase Technical Institute,9022600,Eastern,Kwaebibrim,Takrowasi,Mixed,6,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
89,Amankwakrom Fisheries Agric. Tech. Inst.,9020901,Eastern,Kwahu Afram Plains North,Amankwakrom,Mixed,10,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
701 - CREATIVE ART TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
90,St. Mary's Voc./Tech. Inst.,9020902,Eastern,Kwahu Afram Plains North,Adiembra,Girls,9,"603 - WELDING & FABRICATION TECH.
701 - CREATIVE ART TECHNOLOGY
705 - WOOD TECHNOLOGY
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
91,"TSC Technical Institute, Donkorkrom",9020903,Eastern,Kwahu Afram Plains North,Donkorkrom,Mixed,3,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
615 - INFORMATION TECH.",Day
92,St. Joseph's Tech. Inst.,9022001,Eastern,Kwahu East,Kwahu Tafo,Mixed,11,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
903 - BUSINESS INFO. TECH.",Day/Boarding
93,Abetifi Tech. Inst.,9021001,Eastern,Kwahu East,Abetifi,Mixed,14,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
609 - ELECTRICAL MACHINE/MOTOR REWINDING
610 - AGRICULTURAL MECHANIZATION TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/Boarding
94,Abetifi Kyemase Technical  Institute,9021002,Eastern,Kwahu East,Abetifi,Mixed,9,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
95,Kpong Technical Institute,9021502,Eastern,Lower Manya Krobo,Kpong,Mixed,10,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
96,Koforidua GRATIS Technical Institute,9020104,Eastern,New Juaben Municipal,Koforidua,Mixed,4,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.",Day
97,Koforidua Tech. Inst.,9020101,Eastern,New Juaben,Koforidua,Mixed,16,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
708 - BUILDING CONS. TECH. (CBT OPTION)
709 - BIODIGESTER
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
98,Effiduase Technical Institute,9020102,Eastern,New Juaben Municipal,Effiduase-Koforidua,Mixed,6,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY",Day/Boarding
99,Abiriw Presbyterian Technical Institute,9021602,Eastern,Okere,Abiriw,Mixed,4,"608 - ELECTRICAL ENG. TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING",Day
100,Akuapem Technical Institute,9020301,Eastern,Akwapem South,Kitase-Aburi,Mixed,5,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY",Day
101,Suhum Technical Institute,9020701,Eastern,Suhum Municipal,Suhum,Mixed,8,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY
901 - BUSINESS SECRETARIAL",Day/Boarding
102,"St. Mary's Technical Institute, Asamankese",9020500,Eastern,West Akim,Asamankese,Mixed,6,"608 - ELECTRICAL ENG. TECH.
615 - INFORMATION TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
103,"TSC Technical Institute, Asamankese",9020501,Eastern,West Akim,Asamankese,Mixed,3,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
615 - INFORMATION TECH.",Day
104,Denkyembour Technical Institute,9021105,Eastern,Denkyembour,Boadua,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
105,Asakraka Technical Institute,9022301,Eastern,Kwahu South,Asakraka,Mixed,6,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY",Day
106,Somanya Technical Institute,9021401,Eastern,Yilo Krobo,Somanya,Mixed,6,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY",Day/Boarding
107,Tutu Methodist Technical Institute,9021603,Eastern,Akuampem North Municipal,Tutu,Mixed,6,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
810 - BEAUTY THERAPY",Day
108,Applied Technology Institute - Anyinam,9022201,Eastern,Atiwa East,Anyinam,Mixed,3,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
802 - GARMENT / FASHION TECH.",Day
109,New Century Technical Institute,9010104,G. Accra,Ablekuma West Municipal,Dansoman,Mixed,10,"608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
621 - LEATHER WORKS TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
110,Sacred Heart Tech. Inst.,9010102,G. Accra,Accra Metro,Jamsetown,Mixed,7,"614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day
111,Ada Tech. Inst.,9011601,G. Accra,Ada East,Ada,Mixed,14,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
615 - INFORMATION TECH.
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING",Day/Boarding
112,Ashiaman Technical Institute,9011001,G. Accra,Ashiaman Municipal,Ashaiman,Mixed,10,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day
113,"Opportunities Industrialization Technical Institute, Accra",9010123,G. Accra,Ayawaso West Municipal,East Legon,Mixed,7,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
701 - CREATIVE ART TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL",Day
114,Pilot Technical Institute,9010105,G. Accra,Ayawaso Central Municipal,Kokomlemle,Mixed,10,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
619 - DATABASE MANAGEMENT (CBT OPTION, FOR GIRLS ONLY)
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP",Day
115,Kanda Technical Institute,9010106,G. Accra,Ayawaso East Municipal,Kanda,Mixed,2,"802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
116,Accra Tech. Trg. Centre,9010101,G. Accra,Ayawaso South Municipal,Kokomlemle,Mixed,17,"601 - AUTOBODY REPAIRS
602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
605 - INDUSTRIAL MECHANICS
606 - MECHANICAL ENG TECH.
607 - SMALL ENGINES TECH.
608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
701 - CREATIVE ART TECHNOLOGY
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
903 - BUSINESS INFO. TECH.",Day/Boarding
117,Bedeku Technical Institute,9010500,G. Accra,Ada East,Bedeku,Mixed,6,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
118,Ngleshie Amanfro Technical Institute,9011302,G. Accra,Ga South Municipal,Ngleshie Amanfro,Mixed,5,"601 - AUTOBODY REPAIRS
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
119,Madina Technical Institute,9010901,G. Accra,La Nkwantanang-Madina Municipal,Madin,Mixed,7,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
120,Teshie Tech. Instittute,9011701,G. Accra,Ledzokuku Municipal,Teshie,Mixed,7,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day
121,Afienya  Technical Institute,9010602,G. Accra,Ningo Prampram,Afienya,Mixed,7,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
122,Prampram Technical Institute,9010601,G. Accra,Ningo Prampram,Prampram,Mixed,8,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
123,South Labone Girls Technical Institute,9010107,G. Accra,Korle Klottey Municipal,Labone,Girls,4,"802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
124,Agomeda Technical Institute,9010702,G. Accra,Shai Osudoku,Agomeda,Mixed,7,"608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING",Day
125,Dodowa Technical Institute,9010700,G. Accra,Shai Osudoku,Dodowa,Mixed,5,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
126,Tema Tech. Inst.,9010201,G. Accra,Tema Metro,Tema,Mixed,20,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
605 - INDUSTRIAL MECHANICS
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
613 - PRINTING
614 - COMPUTER HARDWARE & SOFTWARE
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
708 - BUILDING CONS. TECH. (CBT OPTION)
709 - BIODIGESTER
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
127,Tema Mission Technical Institute,9010206,G. Accra,Tema Metro,Tema,Mixed,7,"608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
128,Government Technical Institute,9010108,G. Accra,Okaikwei South Municipal,Kaneshie-Accra,Mixed,3,"601 - AUTOBODY REPAIRS
602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.",Day
129,Danfa Technical Institute,9010906,G. Accra,La Nkwantanang Municipal,Danfa,Mixed,4,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day
130,Nima Technical Institute,9010112,G. Accra,Ayawaso East Municipal,Nima,Mixed,2,"802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
131,East Legon Applied Technology Institute,9011400,G. Accra,Ayawaso West Municipal,East Legon,Mixed,4,"602 - AUTOMOTIVE  ENG. TECH.
604 - HEAVY DUTY MECHANICS
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.",Day/Boarding
